  -0.0028  -0.0035  -0.0043  -0.0053  -0.0064  -0.0077  -0.0091  -0.0107  -0.0126  -0.0145  -0.0167  -0.0190  -0.0214  -0.0239  -0.0265  -0.0291  -0.0316  -0.0341  -0.0365  -0.0386  -0.0406  -0.0422  -0.0436  -0.0445  -0.0451  -0.0453  -0.0451  -0.0445  -0.0436  -0.0422  -0.0406  -0.0386  -0.0365  -0.0341  -0.0316  -0.0291  -0.0265  -0.0239  -0.0214  -0.0190  -0.0167  -0.0145  -0.0126  -0.0107  -0.0091  -0.0077  -0.0064  -0.0053  -0.0043  -0.0035  -0.0028  -0.0022
  -0.0032  -0.0040  -0.0050  -0.0061  -0.0073  -0.0088  -0.0105  -0.0123  -0.0144  -0.0167  -0.0191  -0.0218  -0.0246  -0.0274  -0.0304  -0.0334  -0.0363  -0.0392  -0.0419  -0.0443  -0.0466  -0.0485  -0.0500  -0.0511  -0.0518  -0.0520  -0.0518  -0.0511  -0.0500  -0.0485  -0.0466  -0.0443  -0.0419  -0.0392  -0.0363  -0.0334  -0.0304  -0.0274  -0.0246  -0.0218  -0.0191  -0.0167  -0.0144  -0.0123  -0.0105  -0.0088  -0.0073  -0.0061  -0.0050  -0.0040  -0.0032  -0.0026
  -0.0037  -0.0046  -0.0056  -0.0069  -0.0083  -0.0100  -0.0119  -0.0140  -0.0164  -0.0190  -0.0218  -0.0248  -0.0279  -0.0312  -0.0346  -0.0380  -0.0413  -0.0445  -0.0476  -0.0505  -0.0530  -0.0551  -0.0569  -0.0582  -0.0589  -0.0592  -0.0589  -0.0582  -0.0569  -0.0551  -0.0530  -0.0505  -0.0476  -0.0445  -0.0413  -0.0380  -0.0346  -0.0312  -0.0279  -0.0248  -0.0218  -0.0190  -0.0164  -0.0140  -0.0119  -0.0100  -0.0083  -0.0069  -0.0056  -0.0046  -0.0037  -0.0029
  -0.0042  -0.0052  -0.0064  -0.0078  -0.0094  -0.0113  -0.0134  -0.0158  -0.0185  -0.0214  -0.0246  -0.0279  -0.0315  -0.0352  -0.0390  -0.0428  -0.0466  -0.0502  -0.0537  -0.0569  -0.0597  -0.0622  -0.0641  -0.0656  -0.0665  -0.0668  -0.0665  -0.0656  -0.0641  -0.0622  -0.0597  -0.0569  -0.0537  -0.0502  -0.0466  -0.0428  -0.0390  -0.0352  -0.0315  -0.0279  -0.0246  -0.0214  -0.0185  -0.0158  -0.0134  -0.0113  -0.0094  -0.0078  -0.0064  -0.0052  -0.0042  -0.0033
  -0.0046  -0.0058  -0.0071  -0.0087  -0.0105  -0.0126  -0.0150  -0.0177  -0.0206  -0.0239  -0.0274  -0.0312  -0.0352  -0.0393  -0.0436  -0.0478  -0.0520  -0.0561  -0.0600  -0.0636  -0.0668  -0.0695  -0.0717  -0.0733  -0.0743  -0.0746  -0.0743  -0.0733  -0.0717  -0.0695  -0.0668  -0.0636  -0.0600  -0.0561  -0.0520  -0.0478  -0.0436  -0.0393  -0.0352  -0.0312  -0.0274  -0.0239  -0.0206  -0.0177  -0.0150  -0.0126  -0.0105  -0.0087  -0.0071  -0.0058  -0.0046  -0.0037
  -0.0051  -0.0064  -0.0079  -0.0096  -0.0116  -0.0140  -0.0166  -0.0196  -0.0229  -0.0265  -0.0304  -0.0346  -0.0390  -0.0436  -0.0483  -0.0530  -0.0576  -0.0622  -0.0665  -0.0704  -0.0739  -0.0770  -0.0794  -0.0812  -0.0823  -0.0826  -0.0823  -0.0812  -0.0794  -0.0770  -0.0739  -0.0704  -0.0665  -0.0622  -0.0576  -0.0530  -0.0483  -0.0436  -0.0390  -0.0346  -0.0304  -0.0265  -0.0229  -0.0196  -0.0166  -0.0140  -0.0116  -0.0096  -0.0079  -0.0064  -0.0051  -0.0041
  -0.0056  -0.0070  -0.0086  -0.0106  -0.0128  -0.0153  -0.0182  -0.0215  -0.0251  -0.0291  -0.0334  -0.0380  -0.0428  -0.0478  -0.0530  -0.0582  -0.0633  -0.0683  -0.0730  -0.0773  -0.0812  -0.0845  -0.0871  -0.0891  -0.0903  -0.0907  -0.0903  -0.0891  -0.0871  -0.0845  -0.0812  -0.0773  -0.0730  -0.0683  -0.0633  -0.0582  -0.0530  -0.0478  -0.0428  -0.0380  -0.0334  -0.0291  -0.0251  -0.0215  -0.0182  -0.0153  -0.0128  -0.0106  -0.0086  -0.0070  -0.0056  -0.0045
  -0.0061  -0.0076  -0.0094  -0.0115  -0.0139  -0.0167  -0.0198  -0.0234  -0.0273  -0.0316  -0.0363  -0.0413  -0.0466  -0.0520  -0.0576  -0.0633  -0.0689  -0.0743  -0.0794  -0.0841  -0.0883  -0.0919  -0.0947  -0.0967  -0.0979  -0.0983  -0.0979  -0.0967  -0.0947  -0.0919  -0.0883  -0.0841  -0.0794  -0.0743  -0.0689  -0.0633  -0.0576  -0.0520  -0.0466  -0.0413  -0.0363  -0.0316  -0.0273  -0.0234  -0.0198  -0.0167  -0.0139  -0.0115  -0.0094  -0.0076  -0.0061  -0.0049
  -0.0066  -0.0082  -0.0101  -0.0124  -0.0150  -0.0180  -0.0214  -0.0252  -0.0295  -0.0341  -0.0392  -0.0445  -0.0502  -0.0561  -0.0622  -0.0683  -0.0743  -0.0801  -0.0856  -0.0907  -0.0951  -0.0987  -0.1012  -0.1027  -0.1034  -0.1036  -0.1034  -0.1027  -0.1012  -0.0987  -0.0951  -0.0907  -0.0856  -0.0801  -0.0743  -0.0683  -0.0622  -0.0561  -0.0502  -0.0445  -0.0392  -0.0341  -0.0295  -0.0252  -0.0214  -0.0180  -0.0150  -0.0124  -0.0101  -0.0082  -0.0066  -0.0053
  -0.0071  -0.0088  -0.0108  -0.0132  -0.0160  -0.0192  -0.0229  -0.0270  -0.0315  -0.0365  -0.0419  -0.0476  -0.0537  -0.0600  -0.0665  -0.0730  -0.0794  -0.0856  -0.0915  -0.0967  -0.1009  -0.1034  -0.1037  -0.1020  -0.0996  -0.0985  -0.0996  -0.1020  -0.1037  -0.1034  -0.1009  -0.0967  -0.0915  -0.0856  -0.0794  -0.0730  -0.0665  -0.0600  -0.0537  -0.0476  -0.0419  -0.0365  -0.0315  -0.0270  -0.0229  -0.0192  -0.0160  -0.0132  -0.0108  -0.0088  -0.0071  -0.0056
  -0.0075  -0.0093  -0.0115  -0.0140  -0.0170  -0.0204  -0.0242  -0.0286  -0.0334  -0.0386  -0.0443  -0.0505  -0.0569  -0.0636  -0.0704  -0.0773  -0.0841  -0.0907  -0.0967  -0.1015  -0.1038  -0.1013  -0.0920  -0.0769  -0.0621  -0.0558  -0.0621  -0.0769  -0.0920  -0.1013  -0.1038  -0.1015  -0.0967  -0.0907  -0.0841  -0.0773  -0.0704  -0.0636  -0.0569  -0.0505  -0.0443  -0.0386  -0.0334  -0.0286  -0.0242  -0.0204  -0.0170  -0.0140  -0.0115  -0.0093  -0.0075  -0.0060
  -0.0079  -0.0098  -0.0121  -0.0147  -0.0178  -0.0214  -0.0254  -0.0300  -0.0350  -0.0406  -0.0466  -0.0530  -0.0597  -0.0668  -0.0739  -0.0812  -0.0883  -0.0951  -0.1009  -0.1038  -0.0996  -0.0807  -0.0407   0.0166   0.0707   0.0933   0.0707   0.0166  -0.0407  -0.0807  -0.0996  -0.1038  -0.1009  -0.0951  -0.0883  -0.0812  -0.0739  -0.0668  -0.0597  -0.0530  -0.0466  -0.0406  -0.0350  -0.0300  -0.0254  -0.0214  -0.0178  -0.0147  -0.0121  -0.0098  -0.0079  -0.0063
